internal_id,name,address1,address2,city,region,postal_code,country,phone,latitude,longitude,email,description,url1,url2,tags
1,Randstad Education - London Ilford,"1st Floor, Suite 3a, Cranbrook House",Cranbrook Road,London,Greater London,IG1 4PG,GB,020 8478 2250,,,ilford@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/london-ilford-teaching-jobs-randstad-education-ilford-office_68/,,"Education, Primary, Secondary, SEN"
2,Randstad Education - Birmingham,3rd Floor Livery Place,35 Livery Street,Birmingham,,B3 2PB,GB,0121 200 5910,,,birmingham@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/birmingham-teaching-jobs-randstad-education-birmingham-office_60/,,"Education, Primary , Secondary , SEN "
3,Randstad Education - Bristol,1st Floor Embassy House,Queens Road,Bristol,,BS8 1SB,GB,0117 929 9882,,,bristol@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/bristol-teaching-jobs-randstad-education-bristol-office_62/,,"Education, Primary , Secondary , SEN "
4,Randstad Education - Cambridge,"Part 1st Floor, Abbeygate House",164-167 East Road,Cambridge,,CB1 1DB,GB,01223 368836,,,cambridge@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/cambridge-teaching-jobs-randstad-education-cambridge-office_63/,,"Education, Primary , Secondary , SEN "
5,Randstad Education - Chelmsford,"2nd Floor, Ford House",31-34 Railway Street,Chelmsford,,CM1 1QS,GB,01245 260100,,,chelmsford@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/chelmsford-teaching-jobs-randstad-education-office_65/,,"Education, Primary , Secondary , SEN "
6,Randstad Education - Cheshire,Median House,21-23 Barbauld Street,Warrington,,WA1 1EY,GB,01925 575975,,,cheshire@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/cheshire-teaching-jobs-randstad-education-cheshire-office_66/,,"Education, Primary , Secondary , SEN "
7,Randstad Education - Crawley,13a The Broadway,,Crawley,,RH10 1DX,GB,01293 527416,,,crawley@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/crawley-teaching-jobs-randstad-education-crawley-office_67/,,"Education, Primary , Secondary , SEN "
8,Randstad Education - Leeds,2nd Floor,14 King Street,Leeds,,LS1 2HL,GB,0113 246 2500,,,leeds@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/leeds-teaching-jobs-randstad-education-leeds-office_70/,,"Education, Primary , Secondary , SEN "
9,Randstad Education - Leicester,New House,94 New Walk,Leicester,,LE1 7EA,GB,0116 254 3113,,,leicester@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/leicester-teaching-jobs-randstad-education-leicester-office_71/,,"Education, Primary , Secondary , SEN "
10,Randstad Education - Liverpool,7th Floor Martins Bank Building,4 Water Street,Liverpool,,L2 3SX,GB,0151 255 1666,,,liverpool@randstadeducation.co.uk,,https://www.randstad.co.uk/job-seeker/our-offices/liverpool-teaching-jobs-randstad-education-liverpool-office_72/,,"Education, Primary , Secondary , SEN "
